Item,id
Cartonboard,1
Case materials,2
Chemical wood pulp,3
"Chemical wood pulp, sulphate, bleached",4
"Chemical wood pulp, sulphate, unbleached",5
"Chemical wood pulp, sulphite",6
"Chemical wood pulp, sulphite, bleached",7
"Chemical wood pulp, sulphite, unbleached",8
Dissolving wood pulp,9
Fibreboard,10
"Fibreboard, compressed (1961-1994)",11
Forest products (export/import),12
Graphic papers,13
Hardboard,14
Household and sanitary papers,15
Industrial roundwood,16
"Industrial roundwood, coniferous",17
"Industrial roundwood, coniferous (export/import)",18
"Industrial roundwood, non-coniferous",19
"Industrial roundwood, non-coniferous non-tropical (export/import)",20
"Industrial roundwood, non-coniferous tropical (export/import)",21
MDF/HDF,22
Mechanical and semi-chemical wood pulp,23
Mechanical wood pulp,24
Newsprint,25
OSB,26
Other agglomerates,27
Other fibreboard,28
Other industrial roundwood,29
"Other industrial roundwood, all species (export/import, 1961-1989)",30
"Other industrial roundwood, coniferous (production)",31
"Other industrial roundwood, non-coniferous (production)",32
Other paper and paperboard,33
Other paper and paperboard n.e.s. (not elsewhere specified),34
Other papers mainly for packaging,35
Packaging paper and paperboard,36
Paper and paperboard,37
"Paper and paperboard, excluding newsprint",38
Particle board,39
Particle board and OSB (1961-1994),40
Plywood,41
Printing and writing papers,42
"Printing and writing papers, coated",43
"Printing and writing papers, uncoated, mechanical",44
"Printing and writing papers, uncoated, wood free",45
Pulp for paper,46
Pulp from fibres other than wood,47
Pulpwood and particles (1961-1997),48
"Pulpwood and particles, coniferous (production, 1961-1997)",49
"Pulpwood and particles, non-coniferous (production, 1961-1997)",50
"Pulpwood, round and split, all species (export/import, 1961-1989)",51
"Pulpwood, round and split, all species (production)",52
"Pulpwood, round and split, coniferous (production)",53
"Pulpwood, round and split, non-coniferous (production)",54
Recovered fibre pulp,55
Recovered paper,56
Recovered post-consumer wood,57
Roundwood,58
"Roundwood, coniferous",59
"Roundwood, non-coniferous",60
Sawlogs and veneer logs,61
"Sawlogs and veneer logs, coniferous",62
"Sawlogs and veneer logs, non-coniferous",63
Sawnwood,64
"Sawnwood, coniferous",65
"Sawnwood, non-coniferous all",66
Semi-chemical wood pulp,67
Total fibre furnish,68
Veneer sheets,69
Wood charcoal,70
Wood chips and particles,71
"Wood chips, particles and residues",72
Wood fuel,73
"Wood fuel, all species (export/import, 1961-2016)",74
"Wood fuel, coniferous",75
"Wood fuel, non-coniferous",76
Wood pellets,77
Wood pellets and other agglomerates,78
Wood pulp,79
"Wood pulp, excluding mechanical wood pulp",80
Wood residues,81
Wood-based panels,82
Wrapping and packaging paper and paperboard (1961-1997),83
Wrapping papers,84
